EVENT DATE,Program,MUNICIPALITY, REGION,PRIMARY OCCUPATION CODE,OCCUPATION DESCRIPTION,SECTOR CODE,SECTOR DESCRIPTION,WORKER COUNT
22/05/2020,Industrial Health & Safety Program,HAMILTON,South Western,722310,Food Service Contractors,FOOD,"Food, Beverage & Tobacco",1 to 5
22/05/2020,Industrial Health & Safety Program,Whitby,Central East,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/05/2020,Industrial Health & Safety Program,Toronto,Central East,321216,Particle Board and Fibreboard Mills,PULP,"Pulp, Paper",50 or More
22/05/2020,Construction Health & Safety Program,Courtland,Western,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
22/05/2020,Industrial Health & Safety Program,Hamilton,South Western,624190,Other Individual and Family Services,GOVT,Government,50 or More
22/05/2022,Mining Health & Safety Program,Toronto,Central East,212220,Gold and Silver Ore Mining,UMIN,Underground Mines,50 or More
22/05/2022,Industrial Health & Safety Program,Whitby,Central East,624220,Community Housing Services,GOVT,Government,50 or More
22/05/2023,Industrial Health & Safety Program,Oakville,South Western,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/06/2017,Industrial Health & Safety Program,Etobicoke,Central East,452110,Department Stores,RETL,Retail,50 or More
22/06/2017,Industrial Health & Safety Program,Toronto,,331523,Non-ferrous metal die-casting foundries,STEL,Primary Metals,50 or More
22/06/2017,Industrial Health & Safety Program,Belleville,Eastern,321111,Sawmills (except shingle and shake mills),LOGS,Logging & Sawmills,20 to 49
22/06/2017,Industrial Health & Safety Program,Kitchener,Western,,,,,
22/06/2017,Industrial Health & Safety Program,Mississauga,Central West,452110,Department Stores,RETL,Retail,50 or More
22/06/2018,Industrial Health & Safety Program,Thunder Bay,Northern,913130,Municipal Police Services,PLCE,Police,50 or More
22/06/2018,Industrial Health & Safety Program,Toronto,Central East,484229,"Other Specialized Freight (except Used Goods) Trucking, Local",INDS,Industrial Services,50 or More
22/06/2018,Industrial Health & Safety Program,North York,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/06/2018,Health Care Health & Safety Program,North Bay,Northern,623993,Homes for the Physically Handicapped or Disabled,HFRC,Homes for Residential Care,20 to 49
22/06/2018,Industrial Health & Safety Program,Ancaster,South Western,452110,Department Stores,RETL,Retail,50 or More
22/06/2019,Industrial Health & Safety Program,Kingston,Eastern,445310,"Beer, Wine and Liquor Stores",GOVT,Government,6 to 19
22/06/2019,Industrial Health & Safety Program,Kingston,Eastern,238190,"Other Foundation, Structure and Building Exterior Contractors",CONY,Construction Premises,6 to 19
22/06/2019,Industrial Health & Safety Program,Concord,Central West,484121,"General Freight Trucking, Long Distance, Truck-Load",TRAN,Transportation,50 or More
22/06/2020,Industrial Health & Safety Program,BARRIE,Central West,311119,Other Animal Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/06/2020,Health Care Health & Safety Program,Mississauga,Central West,621610,Home Health Care Services,NSER,Nursing Services,
22/06/2020,Industrial Health & Safety Program,Guelph,Western,238990,All Other Specialty Trade Contractors,INDS,Industrial Services,50 or More
22/06/2020,Construction Health & Safety Program,Toronto,Central East,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
22/06/2020,Industrial Health & Safety Program,LONDON,Western,912150,Provincial Regulatory Services,TRAN,Transportation,1 to 5
22/06/2020,Construction Health & Safety Program,Barrie,Central West,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
22/06/2020,Industrial Health & Safety Program,Tilbury,Western,311814,Commercial Bakeries and Frozen Bakery Product Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/06/2020,Industrial Health & Safety Program,Niagara Falls,South Western,336390,Other motor vehicle parts manufacturing,AUTO,Automotive,50 or More
22/06/2020,Industrial Health & Safety Program,BRANTFORD,South Western,332329,Other Ornamental and Architectural Metal Product Manufacturing,FABR,Wood & Metal Fabrication,20 to 49
22/06/2021,Health Care Health & Safety Program,Markham,Central West,623310,Community Care Facilities for the Elderly,NSER,Nursing Services,
22/06/2021,Industrial Health & Safety Program,UXBRIDGE,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/06/2021,Industrial Health & Safety Program,Oshawa,,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,1 to 5
22/06/2021,Construction Health & Safety Program,Vaughan,Central West,238299,All Other Building Equipment Contractors,COMM,Commercial Building Construction,
22/06/2021,Industrial Health & Safety Program,Huntsville,Eastern,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
22/06/2021,Industrial Health & Safety Program,Toronto,Central East,446110,Pharmacies and Drug Stores,RETL,Retail,20 to 49
22/06/2021,Industrial Health & Safety Program,AYLMER,Western,493110,General Warehousing and Storage,NECI,NEC - Industrial,20 to 49
22/06/2021,Construction Health & Safety Program,Windsor,Western,237310,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,50 or More
22/06/2021,Construction Health & Safety Program,BRANTFORD,South Western,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,
22/06/2021,Construction Health & Safety Program,Toronto,Central East,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
22/06/2022,Construction Health & Safety Program,CAMBRIDGE,Western,237130,Power and Communication Line and Related Structures Construction,HYDR,Hydro,6 to 19
22/06/2022,Construction Health & Safety Program,North York,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,50 or More
22/06/2022,Industrial Health & Safety Program,LONDON,Western,484221,"Bulk Liquids Trucking, Local",TRAN,Transportation,1 to 5
22/06/2022,Industrial Health & Safety Program,Mississauga,Central West,111421,Nursery and Tree Production,FARM,Farming,50 or More
22/06/2022,Industrial Health & Safety Program,Ingersoll,Western,312310,Cannabis product manufacturing,FARM,Farming,20 to 49
22/06/2022,Construction Health & Safety Program,Toronto,Central East,236110,Residential Building Construction,RESS,Single Family Housing,
22/06/2022,Industrial Health & Safety Program,Burlington,South Western,,,,,
22/06/2022,Health Care Health & Safety Program,Concord,Central West,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
22/06/2022,Industrial Health & Safety Program,HAMILTON,South Western,713920,Skiing Facilities,SERV,"Tourism, Hospitality & Recreational Services",50 or More
22/06/2022,Industrial Health & Safety Program,Tiverton,Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/06/2022,Industrial Health & Safety Program,Kingsville,Western,311990,All Other Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/06/2022,Industrial Health & Safety Program,Midland,Central West,312120,Breweries,FOOD,"Food, Beverage & Tobacco",50 or More
22/06/2022,Construction Health & Safety Program,Mississauga,Central West,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
22/06/2023,Industrial Health & Safety Program,North York,Central East,332710,Machine Shops,FABR,Wood & Metal Fabrication,50 or More
22/06/2023,Industrial Health & Safety Program,LONDON,Western,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
22/06/2023,Industrial Health & Safety Program,Belleville,Eastern,115210,Support Activities for Animal Production,FARM,Farming,50 or More
22/06/2023,Industrial Health & Safety Program,St. Thomas,Western,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/06/2023,Construction Health & Safety Program,Smithville,South Western,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
22/06/2023,Construction Health & Safety Program,Etobicoke,Central East,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
22/06/2023,Industrial Health & Safety Program,Newcastle,Central East,493110,General Warehousing and Storage,WHLS,Wholesalers,50 or More
22/07/2017,Construction Health & Safety Program,Sudbury,Northern,236110,Residential Building Construction,RESS,Single Family Housing,20 to 49
22/07/2017,Construction Health & Safety Program,Toronto,Central East,237990,Other Heavy and Civil Engineering Construction,PIPE,Pipeline,50 or More
22/07/2017,Industrial Health & Safety Program,Ajax,Central East,624410,Child Day-Care Services,EDUC,Education,50 or More
22/07/2018,Health Care Health & Safety Program,Bolton,Central West,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
22/07/2018,Industrial Health & Safety Program,,,711217,Sports teams and clubs performing before a paying audience,SERV,"Tourism, Hospitality & Recreational Services",6 to 19
22/07/2019,Industrial Health & Safety Program,Oshawa,Central East,332619,Other Fabricated Wire Product Manufacturing,FABR,Wood & Metal Fabrication,6 to 19
22/07/2019,Health Care Health & Safety Program,Toronto,Central East,623993,Homes for the Physically Handicapped or Disabled,GRPH,Group Homes,50 or More
22/07/2019,Construction Health & Safety Program,Mississauga,,237130,Power and Communication Line and Related Structures Construction,HYDR,Hydro,
22/07/2019,Health Care Health & Safety Program,Bowmanville,Central East,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
22/07/2019,Industrial Health & Safety Program,Ingersoll,Western,336510,Railroad Rolling Stock Manufacturing,FABR,Wood & Metal Fabrication,50 or More
22/07/2019,Industrial Health & Safety Program,LONDON,Western,721213,Recreational (except Hunting and Fishing) and Vacation Camps,SERV,"Tourism, Hospitality & Recreational Services",1 to 5
22/07/2019,Construction Health & Safety Program,Ajax,Central East,236110,Residential Building Construction,RESS,Single Family Housing,50 or More
22/07/2020,Construction Health & Safety Program,Belleville,Eastern,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,6 to 19
22/07/2020,Industrial Health & Safety Program,Thunder Bay,Northern,336410,Aerospace product and parts manufacturing,FABR,Wood & Metal Fabrication,50 or More
22/07/2020,Industrial Health & Safety Program,Stratford,Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
22/07/2020,Industrial Health & Safety Program,Tillsonburg,Western,322299,All Other Converted Paper Product Manufacturing,PULP,"Pulp, Paper",6 to 19
22/07/2020,Industrial Health & Safety Program,Thornhill,Central West,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
22/07/2021,Industrial Health & Safety Program,New Hamburg,Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
22/07/2021,Industrial Health & Safety Program,Palmerston,Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/07/2021,Industrial Health & Safety Program,LONDON,Western,322121,Paper (except Newsprint) Mills,PULP,"Pulp, Paper",50 or More
22/07/2022,Industrial Health & Safety Program,London,Western,519121,Libraries,GOVT,Government,
22/07/2022,Industrial Health & Safety Program,North York,Central East,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/07/2022,Health Care Health & Safety Program,Mississauga,Central West,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
22/07/2022,Construction Health & Safety Program,Blind River,Northern,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
22/07/2022,Industrial Health & Safety Program,Beeton,Central West,624410,Child Day-Care Services,EDUC,Education,6 to 19
22/07/2022,Industrial Health & Safety Program,Guelph,,512110,Motion Picture and Video Production,FLTV,Film & TV,
22/07/2022,Industrial Health & Safety Program,Burlington,South Western,541990,"All Other Professional, Scientific and Technical Services",INDS,Industrial Services,
22/07/2022,Industrial Health & Safety Program,Peterborough,Eastern,512110,Motion Picture and Video Production,FLTV,Film & TV,
22/07/2022,Industrial Health & Safety Program,Richmond Hill,Central West,416210,Metal Service Centres,WHLS,Wholesalers,50 or More
22/07/2023,Industrial Health & Safety Program,North Bay,Northern,311990,All Other Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/07/2023,Health Care Health & Safety Program,Toronto,Central East,623110,Nursing Care Facilities,NSER,Nursing Services,20 to 49
22/07/2023,Industrial Health & Safety Program,Milton,South Western,325410,Pharmaceutical and Medicine Manufacturing,NECI,NEC - Industrial,50 or More
22/07/2023,Industrial Health & Safety Program,BRANTFORD,South Western,326121,Unlaminated Plastic Profile Shape Manufacturing,CHEM,"Chemical, Rubber & Plastics",
22/08/2017,Industrial Health & Safety Program,Cambridge,Western,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
22/08/2017,Industrial Health & Safety Program,Etobicoke,Central East,493120,Refrigerated Warehousing and Storage,FOOD,"Food, Beverage & Tobacco",50 or More
22/08/2017,Industrial Health & Safety Program,Teeswater,Western,221111,Hydro-Electric Power Generation,NECI,NEC - Industrial,
22/08/2017,Industrial Health & Safety Program,Markham,Central West,332810,"Coating, engraving, cold and heat treating and allied activities",FABR,Wood & Metal Fabrication,20 to 49
22/08/2017,Health Care Health & Safety Program,Hamilton,South Western,621610,Home Health Care Services,NSER,Nursing Services,50 or More
22/08/2017,Industrial Health & Safety Program,Oshawa,Central East,532410,"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing",INDS,Industrial Services,50 or More
22/08/2017,Construction Health & Safety Program,Madsen,Northern,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
22/08/2017,Industrial Health & Safety Program,Etobicoke,Central East,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/08/2017,Industrial Health & Safety Program,London,Western,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,AUTO,Automotive,50 or More
22/08/2018,Industrial Health & Safety Program,Brampton,Central West,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
22/08/2018,Health Care Health & Safety Program,St. Catharines,South Western,624190,Other Individual and Family Services,NSER,Nursing Services,
22/08/2018,Industrial Health & Safety Program,CHATHAM,Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/08/2018,Industrial Health & Safety Program,Toronto,Central East,493110,General Warehousing and Storage,TRAN,Transportation,50 or More
22/08/2018,Industrial Health & Safety Program,Toronto,Central East,518210,"Data Processing, Hosting, and Related Services",NECI,NEC - Industrial,
22/08/2018,Construction Health & Safety Program,Geraldton,Northern,238210,Electrical Contractors and Other Wiring Installation Contractors,COMM,Commercial Building Construction,1 to 5
22/08/2018,Construction Health & Safety Program,HAMILTON,South Western,237990,Other Heavy and Civil Engineering Construction,RAIL,Railway,50 or More
22/08/2018,Mining Health & Safety Program,ORILLIA,Central West,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
22/08/2018,Industrial Health & Safety Program,Ottawa,,611110,Elementary and Secondary Schools,EDUC,Education,
22/08/2018,Industrial Health & Safety Program,KINGSTON,Eastern,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/08/2018,Industrial Health & Safety Program,Newmarket,Central West,444110,Home Centres,RETL,Retail,50 or More
22/08/2018,Industrial Health & Safety Program,Owen Sound,Western,444110,Home Centres,TRAN,Transportation,50 or More
22/08/2019,Construction Health & Safety Program,TERRACE BAY TWP,Northern,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
22/08/2019,Industrial Health & Safety Program,Woodstock,,561990,All Other Support Services,INDS,Industrial Services,
22/08/2019,Industrial Health & Safety Program,HAMILTON,South Western,448199,All Other Clothing Stores,RETL,Retail,6 to 19
22/08/2019,Construction Health & Safety Program,Smooth Rock Falls,Northern,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,6 to 19
22/08/2019,Health Care Health & Safety Program,Guelph,Western,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
22/08/2019,Industrial Health & Safety Program,Sudbury,Northern,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
22/08/2019,Construction Health & Safety Program,Huntsville,Eastern,237110,Water and Sewer Line and Related Structures Construction,SEWW,Sewer/Watermain Construction,6 to 19
22/08/2019,Industrial Health & Safety Program,Ottawa,Eastern,311814,Commercial Bakeries and Frozen Bakery Product Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/08/2020,Construction Health & Safety Program,KINGSTON,Eastern,562990,All Other Waste Management Services,SEWW,Sewer/Watermain Construction,1 to 5
22/08/2020,Industrial Health & Safety Program,Cobourg,Eastern,912190,Other Provincial Protective Services,GOVT,Government,20 to 49
22/08/2021,Industrial Health & Safety Program,Waterloo,Western,327215,Glass Product Manufacturing from Purchased Glass,CERM,"Ceramics, Glass& Stone",50 or More
22/08/2022,Industrial Health & Safety Program,Toronto,Central East,624410,Child Day-Care Services,SERV,"Tourism, Hospitality & Recreational Services",
22/08/2022,Construction Health & Safety Program,Huntsville,Eastern,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
22/08/2022,Construction Health & Safety Program,,,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
22/08/2022,Industrial Health & Safety Program,Brampton,Central West,445110,Supermarkets and Other Grocery (except Convenience) Stores,FOOD,"Food, Beverage & Tobacco",6 to 19
22/08/2022,Industrial Health & Safety Program,Kingston,,444110,Home Centres,RETL,Retail,50 or More
22/08/2022,Industrial Health & Safety Program,Toronto,Central East,493110,General Warehousing and Storage,WHLS,Wholesalers,50 or More
22/08/2022,Construction Health & Safety Program,Copper Cliff,Northern,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
22/08/2022,Industrial Health & Safety Program,Brampton,Central West,722511,Full-service restaurants,FOOD,"Food, Beverage & Tobacco",20 to 49
22/08/2022,Industrial Health & Safety Program,Tillsonburg,Western,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
22/08/2023,Construction Health & Safety Program,Vaughan,Central West,236210,Industrial Building and Structure Construction,MOVE,Moving of a Building/Structure,6 to 19
22/08/2023,Construction Health & Safety Program,Guelph,South Western,237310,"Highway, Street and Bridge Construction",BRID,Bridge Construction,20 to 49
22/08/2023,Construction Health & Safety Program,Hamilton,South Western,236110,Residential Building Construction,COMM,Commercial Building Construction,50 or More
22/08/2023,Industrial Health & Safety Program,Toronto,Central East,493110,General Warehousing and Storage,TRAN,Transportation,50 or More
22/08/2023,Construction Health & Safety Program,Toronto,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,50 or More
22/08/2023,Industrial Health & Safety Program,HAMILTON,South Western,322122,Newsprint Mills,PULP,"Pulp, Paper",50 or More
22/08/2023,Industrial Health & Safety Program,Milton,South Western,115310,Support Activities for Forestry,FIRE,Fire Fighting,
22/08/2023,Industrial Health & Safety Program,Mississauga,Central West,912120,Provincial Correctional Services,GOVT,Government,50 or More
22/09/2017,Industrial Health & Safety Program,Barrie,Central West,493110,General Warehousing and Storage,TRAN,Transportation,50 or More
22/09/2017,Industrial Health & Safety Program,Sunderland,Central East,,,,,
22/09/2017,Industrial Health & Safety Program,Ottawa,Eastern,237110,Water and Sewer Line and Related Structures Construction,UTIL,Utilities,6 to 19
22/09/2017,Industrial Health & Safety Program,Concord,Central West,611110,Elementary and Secondary Schools,EDUC,Education,
22/09/2017,Industrial Health & Safety Program,Brampton,Central West,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/09/2017,Construction Health & Safety Program,Brampton,Central West,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,1 to 5
22/09/2017,Industrial Health & Safety Program,Pickering,Central East,,,,,
22/09/2017,Industrial Health & Safety Program,Wellesley,South Western,,,,,
22/09/2018,Industrial Health & Safety Program,East York,Central East,611110,Elementary and Secondary Schools,EDUC,Education,
22/09/2019,Health Care Health & Safety Program,Etobicoke,Central East,621610,Home Health Care Services,NSER,Nursing Services,50 or More
22/09/2019,Industrial Health & Safety Program,Etobicoke,Central East,561722,Janitorial Services (except Window Cleaning),INDS,Industrial Services,6 to 19
22/09/2020,Industrial Health & Safety Program,Etobicoke,Central East,332319,Other Plate Work and Fabricated Structural Product Manufacturing,FABR,Wood & Metal Fabrication,50 or More
22/09/2020,Industrial Health & Safety Program,London,Western,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,
22/09/2020,Industrial Health & Safety Program,Oakville,South Western,326122,Plastic Pipe and Pipe Fitting Manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
22/09/2020,Construction Health & Safety Program,Norwood,Eastern,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,50 or More
22/09/2020,Industrial Health & Safety Program,Ottawa,Eastern,441110,New Car Dealers,VEHS,Vehicle Sales & Service,
22/09/2021,Industrial Health & Safety Program,Mississauga,Central West,,,,,
22/09/2021,Industrial Health & Safety Program,Tillsonburg,Western,311615,Poultry Processing,INDS,Industrial Services,50 or More
22/09/2021,Construction Health & Safety Program,Cornwall,Eastern,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
22/09/2021,Health Care Health & Safety Program,Brampton,Central West,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
22/09/2021,Mining Health & Safety Program,Toronto,Central East,212220,Gold and Silver Ore Mining,NECM,NEC - Mining,50 or More
22/09/2021,Industrial Health & Safety Program,Stayner,Central West,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/09/2021,Industrial Health & Safety Program,Mississauga,Central West,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/09/2022,Industrial Health & Safety Program,Toronto,Central East,561799,All Other Services to Buildings and Dwellings,OFFS,Offices & Related Services,
22/09/2022,Mining Health & Safety Program,North York,Central East,212220,Gold and Silver Ore Mining,UMIN,Underground Mines,50 or More
22/09/2022,Health Care Health & Safety Program,Markham,Central West,622210,Psychiatric and Substance Abuse Hospitals,HOSP,Hospitals,50 or More
22/09/2022,Industrial Health & Safety Program,London,Western,327990,All Other Non-Metallic Mineral Product Manufacturing,CERM,"Ceramics, Glass& Stone",
22/09/2022,Industrial Health & Safety Program,Ajax,Central East,912120,Provincial Correctional Services,GOVT,Government,50 or More
22/09/2022,Health Care Health & Safety Program,Whitby,Central East,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
22/09/2022,Industrial Health & Safety Program,KITCHENER,Western,611110,Elementary and Secondary Schools,EDUC,Education,
22/09/2022,Industrial Health & Safety Program,New Hamburg,Western,611110,Elementary and Secondary Schools,EDUC,Education,6 to 19
22/09/2022,Industrial Health & Safety Program,Kanata,,444110,Home Centres,RETL,Retail,50 or More
22/09/2022,Health Care Health & Safety Program,Owen Sound,Western,621610,Home Health Care Services,HFNC,Homes for Nursing Care,50 or More
22/09/2022,Industrial Health & Safety Program,Belleville,Eastern,323119,Other Printing,NECI,NEC - Industrial,50 or More
22/09/2022,Industrial Health & Safety Program,Toronto,Central East,332611,Spring (Heavy Gauge) Manufacturing,AUTO,Automotive,50 or More
22/09/2022,Construction Health & Safety Program,Longlac,Northern,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
22/09/2023,Industrial Health & Safety Program,Ottawa South,Eastern,238291,Elevator and Escalator Installation Contractors,INDS,Industrial Services,
22/09/2023,Construction Health & Safety Program,Brampton,Central West,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,50 or More
22/09/2023,Industrial Health & Safety Program,Kanata,Eastern,913150,Municipal Regulatory Services,GOVT,Government,50 or More
22/09/2023,Industrial Health & Safety Program,Hamilton,South Western,326290,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
22/09/2023,Industrial Health & Safety Program,Oldcastle,Western,913130,Municipal Police Services,GOVT,Government,
22/10/2017,Health Care Health & Safety Program,Belleville,Eastern,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
22/10/2018,Industrial Health & Safety Program,Waterloo,Western,611110,Elementary and Secondary Schools,EDUC,Education,6 to 19
22/10/2018,Industrial Health & Safety Program,Nepean,,611110,Elementary and Secondary Schools,EDUC,Education,1 to 5
22/10/2018,Health Care Health & Safety Program,BRANTFORD,South Western,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,HOSP,Hospitals,50 or More
22/10/2018,Industrial Health & Safety Program,Scarborough,Central East,624110,Child and Youth Services,INDS,Industrial Services,20 to 49
22/10/2018,Mining Health & Safety Program,Concord,Central West,212220,Gold and Silver Ore Mining,UMIN,Underground Mines,50 or More
22/10/2018,Construction Health & Safety Program,Ingersoll,Western,238160,Roofing Contractors,RESS,Single Family Housing,6 to 19
22/10/2018,Industrial Health & Safety Program,,,611110,Elementary and Secondary Schools,EDUC,Education,1 to 5
22/10/2018,Construction Health & Safety Program,Petrolia,Western,237110,Water and Sewer Line and Related Structures Construction,NECC,NEC - Construction,6 to 19
22/10/2018,Industrial Health & Safety Program,Milton,South Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
22/10/2018,Construction Health & Safety Program,Stratford,Western,236210,Industrial Building and Structure Construction,INDU,Industrial Building Construction,50 or More
22/10/2018,Construction Health & Safety Program,Eganville,Eastern,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
22/10/2018,Industrial Health & Safety Program,Huntsville,Eastern,912120,Provincial Correctional Services,GOVT,Government,50 or More
22/10/2018,Industrial Health & Safety Program,Thorold,South Western,333990,All Other General-Purpose Machinery Manufacturing,FABR,Wood & Metal Fabrication,50 or More
22/10/2018,Industrial Health & Safety Program,Windsor,Western,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
22/10/2019,Industrial Health & Safety Program,Mississauga,,238910,Site Preparation Contractors,TRAN,Transportation,6 to 19
22/10/2019,Industrial Health & Safety Program,Beamsville,South Western,624220,Community Housing Services,OFFS,Offices & Related Services,1 to 5
22/10/2019,Mining Health & Safety Program,Breslau,South Western,212314,Granite Mining and Quarrying,QRRY,Quarries,20 to 49
22/10/2019,Industrial Health & Safety Program,Nanticoke,South Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
22/10/2019,Industrial Health & Safety Program,Mississauga,Central West,912120,Provincial Correctional Services,GOVT,Government,50 or More
22/10/2019,Industrial Health & Safety Program,Milton,South Western,311615,Poultry Processing,FOOD,"Food, Beverage & Tobacco",50 or More
22/10/2019,Industrial Health & Safety Program,Stoney Creek,South Western,311520,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/10/2020,Industrial Health & Safety Program,Toronto,Central East,311990,All Other Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/10/2020,Industrial Health & Safety Program,Richmond Hill,Central West,336212,Truck Trailer Manufacturing,FABR,Wood & Metal Fabrication,50 or More
22/10/2021,Industrial Health & Safety Program,Toronto,Central East,332321,Metal Window and Door Manufacturing,STEL,Primary Metals,6 to 19
22/10/2021,Industrial Health & Safety Program,CAMBRIDGE,Western,611310,Universities,EDUC,Education,20 to 49
22/10/2021,Construction Health & Safety Program,Grand Valley,Central West,236210,Industrial Building and Structure Construction,INDU,Industrial Building Construction,50 or More
22/10/2022,Industrial Health & Safety Program,Etobicoke,Central East,336390,Other motor vehicle parts manufacturing,AUTO,Automotive,50 or More
22/10/2023,Industrial Health & Safety Program,SARNIA,Western,335311,"Power, Distribution and Specialty Transformers Manufacturing",INDS,Industrial Services,
22/10/2023,Industrial Health & Safety Program,KITCHENER,Western,561730,Landscaping Services,OFFS,Offices & Related Services,50 or More
22/10/2023,Industrial Health & Safety Program,Kitchener,Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
22/11/2017,Industrial Health & Safety Program,Fort Frances,Northern,611110,Elementary and Secondary Schools,EDUC,Education,6 to 19
22/11/2017,Health Care Health & Safety Program,Newmarket,Central West,622210,Psychiatric and Substance Abuse Hospitals,HOSP,Hospitals,50 or More
22/11/2017,Industrial Health & Safety Program,Cambridge,Western,311119,Other Animal Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
22/11/2017,Industrial Health & Safety Program,Mississauga,Central West,414120,Footwear merchant wholesalers,FOOD,"Food, Beverage & Tobacco",50 or More
22/11/2017,Industrial Health & Safety Program,Cobourg,Eastern,452110,Department Stores,RETL,Retail,50 or More
22/11/2018,Industrial Health & Safety Program,Ingersoll,Western,,,,,
22/11/2018,Construction Health & Safety Program,Hamilton,South Western,237990,Other Heavy and Civil Engineering Construction,RAIL,Railway,50 or More
