Accident_Date,Worker_age,Occupation_Category_Code,Occupation_Category_Description,Occupation_Code,Occupation_Description,Worker_Experience_in_Years,Accident_Source_Category_Description1,Source_Category_Description2,Accident_Category_Description,Accident_Place_Description,Organization_City,Organization_Province_Code,Industry_Sector_Description
1/8/2023,53,621,SALES AND SERVICE SUPERVISORS,6213,FOOD SERVICE SUPERVISORS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,KITCHENER,ON,INDUSTRIAL
2/4/2023,63,665,SECURITY GUARDS AND RELATED OCCUPATIONS,6652,SECURITY GUARDS AND RELATED OCCUPATIONS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,OTTAWA,ON,MANUFACTURING
1/27/2023,31,666,CLEANERS,6663,SPECIALIZED CLEANERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","MATERIAL HANDLING MACHINERY, UNS",BODILY REACTION,INDUSTRIAL SITE.,TORONTO,ON,INDUSTRIAL
1/25/2023,46,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,MITCHELL,ON,CONSTRUCTION
2/23/2023,48,323,OTHER TECHNICAL OCCUPATIONS IN HEALTH CARE (EXCEPT DENTAL),3235,AMBULANCE ATTENDANTS AND OTHER PARAMEDICAL OCCUPATIONS,0.5,"HIGHWAY VEHICLE, MOTORIZED, N.E.C.",OTHER MACHINERY,HIGHWAY ACCIDENT,PLACE FOR SPORTS AND RECREATION.,ETOBICOKE,ON,HEALTH CARE
1/28/2023,53,666,CLEANERS,6663,SPECIALIZED CLEANERS,0.5,GROUND,"VEHICLE & MOBILE EQUIP. PARTS, N.E.C.",FALL TO LOWER LEVEL,BUILDING UNDER CONSTRUCTION.,VERDUN,QC,TRANSPORTATION
1/28/2023,45,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,"FLOORS, WALKWAYS, GROUND SURFACES, UNS",WHEELCHAIRS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,MARKHAM,ON,HEALTH CARE
2/4/2023,57,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9615,"LABOURERS IN WOOD, PULP AND PAPER PROCESSING",0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",WEATHER AND ATMOSPHERIC CONDITIONS,BODILY REACTION,INDUSTRIAL SITE.,THORNHILL,ON,MANUFACTURING
7/15/2024,32,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","STREET, ROAD",BODILY REACTION,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",THORNHILL,ON,TRANSPORTATION
6/30/2024,19,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1472,SHIPPERS AND RECEIVERS,0.5,FORKLIFT,FORKLIFT,"NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER",PUBLIC BUILDINGS.,WELLESLEY,ON,INDUSTRIAL
7/17/2024,46,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","STAIRS, STEPS",BODILY REACTION,PLACE NOT SPECIFIED,RAMA,ON,INDUSTRIAL
7/10/2024,21,861,PRIMARY PRODUCTION LABOURERS,8613,LANDSCAPING AND GROUNDS MAINTENANCE LABOURERS,0.5,"WOOD, LUMBER","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK BY OBJECT,INDUSTRIAL SITE.,ETOBICOKE,ON,MANUFACTURING
6/30/2024,48,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9619,"OTHER LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",0.5,FLOORS,"CART, DOLLY, HANDTRUCK",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,SAINT-LAURENT,QC,MANUFACTURING
3/9/2024,32,948,"MECHANICAL, ELECTRICAL AND ELECTRONICS ASSEMBLERS",9483,"MOTOR VEHICLE ASSEMBLERS, INSPECTORS AND TESTERS",0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",UNKNOWN,BODILY REACTION,INDUSTRIAL SITE.,PAKENHAM,ON,MANUFACTURING
7/17/2024,50,742,HEAVY EQUIPMENT OPERATORS,7422,HEAVY EQUIPMENT OPERATORS (EXCEPT CRANE),0.5,EXCAVATING MACHINERY,"CO-WORKER, FORMER CO-WORKER OF INJURED OR ILL WORKER","PEDESTRIAN STRUCK BY VEHICLE, MOBILE EQUIPMENT",PLACE NOT SPECIFIED,SAULT STE MARIE,ON,AGRICULTURE
1/25/2022,59,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7443,WATERWORKS AND GAS MAINTENANCE WORKERS,0.5,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,CONCORD,ON,ELECTRICAL
7/24/2024,35,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,PARKING LOTS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,PUBLIC BUILDINGS.,THOROLD,ON,INDUSTRIAL
9/7/2021,56,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7446,OTHER REPAIRERS AND SERVICERS,0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,INDUSTRIAL SITE.,WOODBRIDGE,ON,FOOD
7/15/2024,58,942,"MACHINE OPERATORS & REL. WRKRS. IN CHEMICAL,PLASTIC & RUBBER",9422,CHEMICAL PLANT MACHINE OPERATORS,0.5,"POTS, PANS, TRAYS","POTS, PANS, TRAYS",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,MARKHAM,ON,CHEMICAL/PROCESS
8/27/2023,68,647,CHILDCARE AND HOME SUPPORT WORKERS,6475,"BABYSITTERS, NANNIES AND PARENTS' HELPERS",0.5,"CHIPS, PARTICLES, SPLINTERS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,PLACE NOT SPECIFIED,TORONTO,ON,INDUSTRIAL
7/25/2024,20,861,PRIMARY PRODUCTION LABOURERS,8613,LANDSCAPING AND GROUNDS MAINTENANCE LABOURERS,0.5,AUTOMOBILE,OTHER SOURCES,RAILWAY ACCIDENT,BUILDING UNDER CONSTRUCTION.,OWEN SOUND,ON,MANUFACTURING
8/23/2023,70,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,TRUCK,AUTOMOBILE,"PEDESTRIAN STRUCK BY VEHICLE, MOBILE EQUIPMENT",PUBLIC BUILDINGS.,BRAMPTON,ON,CONSTRUCTION
7/2/2024,70,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",UNKNOWN,BODILY REACTION,INDUSTRIAL SITE.,MOUNT ALBERT,ON,TRANSPORTATION
12/15/2022,48,842,LOGGING AND FORESTRY WORKERS,8422,CHAIN-SAW AND SKIDDER OPERATORS,0.5,"TREES, LOGS",UNKNOWN,STRUCK BY OBJECT,STREET AND HIGHWAY.,TORONTO,ON,AGRICULTURE
12/13/2022,33,662,OTHER SALES AND RELATED OCCUPATIONS,6622,SERVICE STATION ATTENDANTS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",HOSES,BODILY REACTION,PLACE NOT SPECIFIED,HAMILTON,ON,INDUSTRIAL
12/14/2022,38,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","BOXES, CRATES, CARTONS",BODILY REACTION,INDUSTRIAL SITE.,MOOSE FACTORY,ON,INDUSTRIAL
12/24/2022,62,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,"TANKS, BINS, VATS","GARMENT RACKS, OTHER RACKS",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,ATIKOKAN,ON,INDUSTRIAL
7/12/2022,41,224,TECHNICAL OCCUPS. IN ELECTRONICS AND ELECTRICAL ENGINEERING,2244,INDUSTRIAL INSTRUMENT TECHNICIANS AND MECHANICS,0.5,"PLANT & INDUSTRIAL POWERED VEHICLE, N.E.C.","PERSON--INJURED OR ILL WORKER, N.E.C.","PEDESTRIAN STRUCK BY VEHICLE, MOBILE EQUIPMENT","RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",MAPLE,ON,MANUFACTURING
12/10/2022,57,522,"PHOTOGRAPHERS, GRAPHIC ARTS TECHS. & TECH. OCCUPS. IN MOTION",5226,AUDIO AND VIDEO RECORDING TECHNICIANS,0.5,"FLOORS, WALKWAYS, GROUND SURFACES, UNS",LADDERS--MOVABLE,FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,YORK,ON,CONSTRUCTION
12/2/2022,33,942,"MACHINE OPERATORS & REL. WRKRS. IN CHEMICAL,PLASTIC & RUBBER",9423,PLASTICS PROCESSING MACHINE OPERATORS,0.5,FLOORS,CONVEYORS--POWERED,FALL TO LOWER LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",SAULT STE. MARIE,ON,MANUFACTURING
11/2/2022,49,843,AGRICULTURE AND HORTICULTURE WORKERS,8432,GENERAL FARM WORKERS,0.5,OTHER AGRICULTURAL AND GARDEN MACHINERY,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,BUILDING UNDER CONSTRUCTION.,TORONTO,ON,AGRICULTURE
2/20/2022,32,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"WOOD, LUMBER",FORKLIFT,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,SIMCOE,ON,INDUSTRIAL
12/14/2022,19,948,"MECHANICAL, ELECTRICAL AND ELECTRONICS ASSEMBLERS",9483,"MOTOR VEHICLE ASSEMBLERS, INSPECTORS AND TESTERS",0.5,"CART, DOLLY, HANDTRUCK","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,PUBLIC BUILDINGS.,ST THOMAS,ON,MANUFACTURING
11/29/2022,57,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9613,LABOURERS IN METAL FABRICATION,0.5,PARTS & MATERIALS,MACHINE AND APPLIANCE PARTS,STRUCK BY OBJECT,INDUSTRIAL SITE.,TORONTO,ON,MANUFACTURING
12/15/2022,37,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1474,PRODUCTION CLERKS,0.5,HOSES,FORKLIFT,STRUCK AGAINST OBJECT,BUILDING UNDER CONSTRUCTION.,WOODSTOCK,ON,CHEMICAL/PROCESS
12/10/2022,55,315,NURSE SUPERVISORS AND REGISTERED NURSES,3153,REGISTERED NURSES,0.5,PARKING LOTS,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",FALL ON SAME LEVEL,STREET AND HIGHWAY.,SAINT-LAURENT,QC,HEALTH CARE
12/1/2022,59,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7444,AUTOMOTIVE MECHANICAL INSTALLERS AND SERVICERS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,MISSISSAUGA,ON,INDUSTRIAL
12/4/2022,49,723,MACHINISTS AND RELATED OCCUPATIONS,7233,TOOL AND DIE MAKERS,0.5,FASTENERS,MACHINE AND APPLIANCE PARTS,OVEREXERTION,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",CONCORD,ON,MANUFACTURING
12/6/2022,48,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,DIGGING HANDTOOLS--NONPOWERED,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,INDUSTRIAL SITE.,THESSALON,ON,TRANSPORTATION
4/12/2022,27,624,CHEFS AND COOKS,6243,COOKS,0.5,"OTHER STEAM, VAPOUR, LIQUIDS, N.E.C.","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",CONTACT WITH TEMPERATURE EXTREMES,HOME.,STOUFFVILLE,ON,TRANSPORTATION
12/6/2022,61,949,OTHER ASSEMBLY AND RELATED OCCUPATIONS,9499,OTHER ASSEMBLERS AND INSPECTORS,0.5,"BORING, DRILLING, PLANING, MILLING MACHINERY","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,PUBLIC BUILDINGS.,SCARBOROUGH,ON,MANUFACTURING
11/2/2022,50,951,"MACHINING,METALWORKING,WOODWORKING & RELATED MACH. OPERATORS",9514,WOODWORKING MACHINE OPERATORS,0.5,LOGGING AND WOOD PROCESSING MACHINERY--SPECIALIZED,UNKNOWN,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,CHEPSTOW,ON,INDUSTRIAL
11/29/2022,60,1,LEGISLATORS AND SENIOR MANAGEMENT,17,"SENIOR MANAGERS - GOODS PRODUCTION, UTILITIES, TRANSPORTATIO",0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,SARNIA,ON,INDUSTRIAL
11/17/2022,19,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9619,"OTHER LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",0.5,"BENDING, ROLLING, SHAPING MACHINERY","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,ETOBICOKE,ON,MANUFACTURING
11/30/2022,35,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7442,RESIDENTIAL AND COMMERCIAL INSTALLERS AND SERVICERS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,WINDSOR,ON,CONSTRUCTION
10/24/2022,45,843,AGRICULTURE AND HORTICULTURE WORKERS,8433,NURSERY AND GREENHOUSE WORKERS,0.5,"CONTAINERS, N.E.C.",FORKLIFT,STRUCK BY OBJECT,INDUSTRIAL SITE.,NORTH BAY,ON,AGRICULTURE
11/17/2022,19,723,MACHINISTS AND RELATED OCCUPATIONS,7232,MACHINISTS AND MACHINING AND TOOLING INSPECTORS,,"MACHINERY, UNS",UNKNOWN,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,STREET AND HIGHWAY.,CONCORD,ON,MANUFACTURING
11/4/2022,65,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,TRUCK,TRUCK,HIGHWAY ACCIDENT,PLACE NOT SPECIFIED,OAKVILLE,ON,TRANSPORTATION
11/12/2022,43,731,MACHINERY & TRANSPORT. EQUIP. MECHANICS (EXCP MOTOR VEHICLE),7314,REFRIGERATION AND AIR CONDITIONING MECHANICS,0.5,TURNING HANDTOOLS--NONPOWERED,UNKNOWN,STRUCK BY OBJECT,INDUSTRIAL SITE.,LAMBTON SHORES,ON,CONSTRUCTION
11/18/2022,61,216,"MATHEMATICIANS, SYSTEMS ANALYSIS AND COMPUTER PROGRAMMERS",2164,COMPUTER PROGRAMMERS,0.5,"STAIRS, STEPS",UNKNOWN,FALL TO LOWER LEVEL,INDUSTRIAL SITE.,CHATHAM,ON,MANUFACTURING
12/3/2022,39,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"SKIDS, PALLETS",UNKNOWN,OVEREXERTION,HOME.,LEAMINGTON,ON,CONSTRUCTION
11/2/2022,28,825,"CONTRACTORS,OPERATORS & SUPERVISORS IN AGRIC.,HORTIC.&AQUAC.",8254,FARM SUPERVISORS AND SPECIALIZED LIVESTOCK WORKERS,0.5,"CART, DOLLY, HANDTRUCK","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,INDUSTRIAL SITE.,MISSISSAUGA,ON,INDUSTRIAL
11/30/2022,26,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1472,SHIPPERS AND RECEIVERS,,"VEHICLE & MOBILE EQUIP. PARTS, N.E.C.",TRUCK,STRUCK BY OBJECT,PUBLIC BUILDINGS.,SCARBOROUGH,ON,SERVICES
11/4/2022,51,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7245,ELECTRICAL POWER LINE AND CABLE WORKERS,0.5,BORING HANDTOOLS--POWERED,"PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,TORONTO,ON,MANUFACTURING
12/19/2022,66,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7242,ELECTRICIANS (EXCEPT INDUSTRIAL AND POWER SYSTEM),0.5,ELECTRIC PARTS,UNKNOWN,CONTACT WITH ELECTRIC CURRENT,"OPEN SPACES. (AIR, SEA,WOODS, OPEN FIELDS ETC.)",TORONTO,ON,CONSTRUCTION
12/7/2022,19,729,OTHER CONSTRUCTION TRADES,7292,ROOFERS AND SHINGLERS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,GLOUCESTER,ON,CONSTRUCTION
11/14/2022,38,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9619,"OTHER LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",0.5,"SKIDS, PALLETS","SKIDS, PALLETS",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,PUSLINCH,ON,MANUFACTURING
12/20/2022,61,667,"OTHER ATTENDANTS IN TRAVEL, ACCOMMODATION AND RECREATION",6672,ATTENDANTS IN RECREATION AND SPORT,0.5,FLOORS,CHAIRS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,SUNDRIDGE,ON,INDUSTRIAL
12/4/2022,27,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,STRUCTURAL METAL MATERIALS,OTHER SOURCES,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,INDUSTRIAL SITE.,AUORORA,ON,TRANSPORTATION
11/23/2022,20,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7444,AUTOMOTIVE MECHANICAL INSTALLERS AND SERVICERS,0.5,TRUCK,PERSON--OTHER THAN INJURED OR ILL WORKER,"PEDESTRIAN STRUCK BY VEHICLE, MOBILE EQUIPMENT",PLACE NOT SPECIFIED,MARKHAM,ON,INDUSTRIAL
11/7/2022,56,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,MARKHAM,ON,HEALTH CARE
3/6/2023,42,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7442,RESIDENTIAL AND COMMERCIAL INSTALLERS AND SERVICERS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,FARM.,MILTON,ON,INDUSTRIAL
2/9/2023,48,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1472,SHIPPERS AND RECEIVERS,0.5,TRUCK,"OTHER FLOORS, WALKWAYS, GROUND SURFACES",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,OTTAWA,ON,INDUSTRIAL
1/6/2023,38,727,CARPENTERS AND CABINETMAKERS,7272,CARPENTERS,0.5,STRUCTURAL METAL MATERIALS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","BODILY REACTIONS & EXERTION, N.E.C.",INDUSTRIAL SITE.,BRAMPTON,ON,CONSTRUCTION
2/13/2023,37,65,MANAGERS IN OTHER INDUSTRIAL,652,OTHER INDUSTRIAL MANAGERS,0.5,"STAIRS, STEPS",WEATHER AND ATMOSPHERIC CONDITIONS,FALL TO LOWER LEVEL,INDUSTRIAL SITE.,MILTON,ON,INDUSTRIAL
2/17/2023,19,667,"OTHER ATTENDANTS IN TRAVEL, ACCOMMODATION AND RECREATION",6672,ATTENDANTS IN RECREATION AND SPORT,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,GLOUCESTER,ON,INDUSTRIAL
1/8/2023,68,321,MEDICAL TECHNOLOGISTS AND TECHNICIANS (EXCEPT DENTAL HEALTH),3219,OTHER MEDICAL TECHNOLOGISTS AND TECHNICIANS (EXCEPT DENTAL H,0.5,PARKING LOTS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",RICHMOND HILL,ON,HEALTH CARE
3/1/2023,53,224,TECHNICAL OCCUPS. IN ELECTRONICS AND ELECTRICAL ENGINEERING,2245,"AIRCRAFT INSTRUMENT, ELECTRICAL AND AVIONICS MECHANICS, TECH",0.5,DOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,INDUSTRIAL SITE.,HAMILTON,ON,TRANSPORTATION
1/29/2023,57,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,KINGSTON,ON,TRANSPORTATION
2/13/2023,73,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,ST CATHARINES,ON,TRANSPORTATION
12/31/2022,53,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7248,CABLE TELEVISION SERVICE AND MAINTENANCE TECHNICIANS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,MARKHAM,ON,INDUSTRIAL
2/21/2023,51,62,MANAGERS IN RETAIL TRADE,622,RETAIL TRADE MANAGERS,0.5,DOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK BY OBJECT,INDUSTRIAL SITE.,WINDSOR,ON,INDUSTRIAL
2/15/2023,56,621,SALES AND SERVICE SUPERVISORS,6213,FOOD SERVICE SUPERVISORS,0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,ELMIRA,ON,INDUSTRIAL
1/20/2023,59,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,MARKHAM,ON,INDUSTRIAL
2/16/2023,49,726,"METAL FORMING, SHAPING AND ERECTING OCCUPATIONS",7266,WELDERS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,CONCORD,ON,CONSTRUCTION
8/8/2023,21,761,TRADES HELPERS AND LABOURERS,7613,OTHER TRADES HELPERS AND LABOURERS,0.5,"BOXES, CRATES, CARTONS","BOXES, CRATES, CARTONS",STRUCK BY OBJECT,HOME.,CHATSWORTH,ON,TRANSPORTATION
9/23/2023,29,731,MACHINERY & TRANSPORT. EQUIP. MECHANICS (EXCP MOTOR VEHICLE),7314,REFRIGERATION AND AIR CONDITIONING MECHANICS,0.5,COOLING AND HUMIDIFYING MACHINERY AND APPLIANCES,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",OVEREXERTION,INDUSTRIAL SITE.,BRAMPTON,ON,CONSTRUCTION
8/16/2023,56,421,"PARALEGALS, SOC. SERV. WRKRS. & OCCUPS. IN EDUC. & REL., NEC",4213,COMMUNITY AND SOCIAL SERVICE WORKERS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,PICKERING,ON,HEALTH CARE
8/30/2023,26,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"ROCKS, CRUSHED STONE","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",OVEREXERTION,STREET AND HIGHWAY.,ZEPHYR,ON,CONSTRUCTION
8/15/2023,21,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,2,"MACHINERY, UNS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,HOME.,THAMESVILLE,ON,CONSTRUCTION
8/30/2023,55,951,"MACHINING,METALWORKING,WOODWORKING & RELATED MACH. OPERATORS",9515,METALWORKING MACHINE OPERATORS,0.5,OTHER SOURCES,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,STREET AND HIGHWAY.,WINDSOR,ON,MANUFACTURING
8/17/2023,43,729,OTHER CONSTRUCTION TRADES,7292,ROOFERS AND SHINGLERS,2,"WOOD, LUMBER","CLEANING AND POLISHING AGENTS, DISINFECTANTS, N.E.C.",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,MARATHON,ON,CONSTRUCTION
8/19/2023,66,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9616,LABOURERS IN RUBBER AND PLASTIC PRODUCTS MANUFACTURING,0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,PLACE NOT SPECIFIED,THAMESFORD,ON,MANUFACTURING
9/12/2023,62,421,"PARALEGALS, SOC. SERV. WRKRS. & OCCUPS. IN EDUC. & REL., NEC",4215,EARLY CHILDHOOD EDUCATORS,0.5,"FLOORS, WALKWAYS, GROUND SURFACES, UNS",LIQUIDS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,WOODSTOCK,ON,HEALTH CARE
9/13/2023,39,843,AGRICULTURE AND HORTICULTURE WORKERS,8432,GENERAL FARM WORKERS,0.5,GROUND,EXCAVATING MACHINERY,FALL TO LOWER LEVEL,HOME.,TORONTO,ON,AGRICULTURE
7/8/2023,62,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9618,"LABOURERS IN FOOD, BEVERAGE AND TOBACCO PROCESSING",0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,NEW HAMBURG,ON,AGRICULTURE
